timestamp,download_speed,upload_speed,latency,wifi_ssid,wifi_rssi,wifi_standard,wifi_security
2024-07-11T16:34:36.559411,0,0,0,wifi-access,81,Unknown,WPA2-Enterprise
2024-07-11T16:36:18.443527,0,0,0,wifi-access,81,Unknown,WPA2-Enterprise
